Unternehmensform,Webseite,Stadt,PLZ,Straße,Geschlecht,Anrede,Name,Telefonnummer (Google Maps),Telefonnummer (FastPal Enrichment),E-Mail,Zusammenfassung,Unternehmen,Geschlecht,Anrede,Name,Unternehmensart,Kontaktperson 1 - Name,Kontaktperson 1 - E-Mail,Kontaktperson 1 - Telefon,Kontaktperson 2 - Name,Kontaktperson 2 - E-Mail,Kontaktperson 2 - Telefon,Kontaktperson 3 - Name,Kontaktperson 3 - E-Mail,Kontaktperson 3 - Telefon,Services
,,,,,,,,+49 1522 9515708,,,,Souvenirgeschäft Kalinka,,,,Souvenirladen,,,,,,,,,,
,http://linke-cologne.de/de/,,,,,,,+49 221 2582030,,,"Linke Souvenirs ist ein Souvenirladen, der sich auf den Verkauf von Souvenirs spezialisiert hat. Das Unternehmen bietet eine breite Palette an Produkten an, die typisch für die Region sind. Dazu gehören unter anderem lokale Spezialitäten und handgefertigte Artikel. Linke Souvenirs legt Wert auf Qualität und Authentizität seiner Waren. Das Geschäft ist bestrebt, seinen Kunden ein unvergessliches Einkaufserlebnis zu bieten. Durch die Auswahl einzigartiger und lokaler Produkte hebt sich Linke Souvenirs von anderen Souvenirläden ab.",Linke Souvenirs,,,,Souvenirladen,,,,,,,,,,Souvenirladen
,https://bonbon-cologne.de/,,,,,,,+49 1578 5282211,,,"BonBon Cologne ist ein Geschäft für Modeaccessoires, das sich auf eine breite Palette von Produkten spezialisiert hat. Das Sortiment umfasst Schmuck, Taschen, Schals und Hüte, die sowohl für den Alltag als auch für besondere Anlässe geeignet sind. Das Unternehmen legt Wert auf Qualität und Stil und bietet seinen Kunden trendige und dennoch zeitlose Stücke. BonBon Cologne richtet sich an eine modebewusste Zielgruppe, die Wert auf Individualität und Ausdruck legt. Durch die sorgfältige Auswahl der Produkte möchte das Geschäft seinen Kunden ermöglichen, ihren persönlichen Stil zu unterstreichen. Die Atmosphäre im Geschäft ist einladend und inspirierend, um das Einkaufserlebnis zu bereichern. BonBon Cologne versteht sich als Anlaufstelle für stilvolle Accessoires, die jedes Outfit aufwerten.",BonBon Cologne,,,,Geschäft für Modeaccessoires,,,,,,,,,,
,https://www.schmunzelkisten.de/,,,,,,,+49 178 7578832,,,"Schmunzelkisten ist ein Souvenirladen, der sich auf originelle Bilder spezialisiert hat. Das Sortiment umfasst Motive, die sich mit dem Kölner Leben und alltäglichen Begebenheiten beschäftigen. Der Laden bietet eine Auswahl an Produkten, die diese Themen auf humorvolle und charmante Weise darstellen. Kunden finden hier einzigartige Geschenkartikel und Erinnerungsstücke. Schmunzelkisten zeichnet sich durch seine kreative und lokal inspirierte Produktpalette aus. Das Unternehmen richtet sich an Menschen, die das Besondere suchen und eine Verbindung zu Köln oder dem Alltag haben.",Schmunzelkisten - Originelle Bilder über Kölsches und Alltägliches,,,,Souvenirladen,,,,,,,,,,Souvenirs
,,,,,,,,,,,,Cologne Shop - Love Locks,,,,Souvenirladen,,,,,,,,,,
,,,,,,,,,,,,Domstadt Souvenirs,,,,Souvenirladen,,,,,,,,,,
,https://souvenir-point.onepage.me/souvenir-point,Köln,50667,Komödienstraße 7,Herr,,Suhail Haschemi,+49 221 2589890,+49 221 2589890,souvenir-point@outlook.com,"Souvenir Point - Luggage Storage ist ein traditionsreicher Souvenirladen in Köln, der sich nur wenige Schritte vom Kölner Dom entfernt befindet. Das Unternehmen bietet eine breite Palette an Souvenirs aus ganz Deutschland, die liebevoll in Deutschland hergestellt werden und somit echte deutsche Qualität garantieren. Neben klassischen Artikeln wie Magneten, Tassen und Schlüsselanhängern finden Kunden auch exklusive Produkte, die nur dort erhältlich sind. Souvenir Point zeichnet sich durch ein freundliches Familienunternehmen aus, das seit über 18 Jahren besteht und auf persönliche Kundenbetreuung setzt. Zusätzlich zur Souvenir-Auswahl bietet das Geschäft eine praktische Gepäckaufbewahrung in zentraler Lage an, ideal für Touristen, die Köln unbeschwert erkunden möchten. Auch SIM-Karten von Ortel und Lycamobil sowie die Personalisierung von Liebesschlössern gehören zum Serviceangebot.",Souvenir Point - Luggage Storage,Herr,,Suhail Haschemi,Souvenirladen,Suhail Haschemi,,,Suhail Haschemi,,,Csaba Szepesi,,,Souvenirs; Gepäckaufbewahrung; Sim-Karten; Personalisierte Gravuren; Geschenke
GmbH,https://germansouvenirs-koeln.de/,New York,,,,,,+49 221 2774535,+49 221 27726988,hello@dream-theme.com,"German Souvenirs ist ein Geschenkladen in Köln, der sich auf deutsche Souvenirs spezialisiert hat. Das Unternehmen bietet eine große Auswahl an hochwertigen Produkten, darunter insbesondere Kuckucksuhren aus dem Schwarzwald. Diese Uhren sind in verschiedenen Ausführungen erhältlich, von einfachen Modellen mit 1-Tages-Uhrwerk bis hin zu aufwendig geschnitzten Uhren mit 8-Tages-Uhrwerk. German Souvenirs legt Wert auf deutsche Qualität und authentische Produkte von Top-Marken. Kunden können bequem online bestellen und weltweit versenden lassen. Alternativ können die Produkte auch in den beiden Kölner Filialen erworben werden. Das Unternehmen bietet zudem einen persönlichen Kundenservice per Telefon und E-Mail.",German Souvenirs,Frau,,Tiffany Greenfield,Geschenkladen,Tiffany Greenfield,,,Diana Swift,,,John Brown,,,German Souvenirs; Online-Shop; Kuckucks Clocks; Shipping worldwide; German Quality
,,,,,,,,+49 221 56098617,,,,TausendSee Kiosk Souvenir,,,,Souvenirladen,,,,,,,,,,
GmbH,https://www.koelner-domshop.de/souvenirs/,Köln,50667,Roncalliplatz 2,Herr,Geschäftsführer,Thomas Hartmann,+49 179 7083336,+49 (0) 221 17940 444,geschaeftsfuehrung@koelner-domshop.de,"Der Dom Souvenir ist der offizielle Online-Shop des Kölner Doms und bietet seit 2008 eine breite Palette an Produkten an. Kunden können hier exklusive Artikel, kirchliche Souvenirs, Kleidung, Accessoires und Medien rund um den Kölner Dom erwerben. Das Sortiment reicht von kleinen Mitbringseln wie Postkarten und Bleistiften bis hin zu größeren Erinnerungsstücken wie Bettwäsche und Liqueur. Besonders hervorzuheben sind die Produkte, die eine Verbindung zum 1. FC Köln aufweisen. Der Shop versendet versandkostenfrei ab einem Bestellwert von 39 Euro. Kunden haben die Möglichkeit, sich anzumelden, ihr Konto zu verwalten und ihre Bestellungen einzusehen. Der Dom Souvenir ermöglicht es, ein Stück Köln und den Dom mit nach Hause zu nehmen.",Dom Souvenir,Frau,,Sabine Pilgram,Souvenirladen,Geschäftsführer Thomas Hartmann,,,Sabine Pilgram,,,Sabine Pilgram,,,
e.K.,http://sumericasocks.com/,Köln,50667,Burgmauer 6,,,,,,[email protected],"Sumericasocks ist ein Unternehmen, das sich auf den Verkauf von Socken spezialisiert hat und bunte Designs für Damen, Herren und Kinder anbietet. Sie werben mit dem Slogan ""Jeder Schritt ein Wohlfühlerlebnis"" und bieten eine breite Palette an Socken, Strumpfhosen und Leggings an. Aktuell gibt es eine Aktion, bei der man drei Paar Socken kauft und nur zwei bezahlt. Das Unternehmen legt Wert auf Kundenzufriedenheit und bietet kostenlosen Versand, flexible Zahlungsoptionen und ein 14-tägiges Rückgaberecht. Der Hauptsitz von Sumericasocks befindet sich in Köln, Deutschland. Sie legen Wert auf Premium-Kundensupport und informieren ihre Kunden gerne über Neuankömmlinge und Sonderangebote über ihren Newsletter.",Sumerica socks,Not specified,, ,Souvenirladen,,,,,,,,,,
,,,,,,,,+49 221 2580149,,,,4Köln GmbH & Co. KG,,,,Souvenirladen,,,,,,,,,,
,,,,,,,,+49 221 27226858,,,,Am Malzbüchel Supermarkt - Kiosk,,,,Souvenirladen,,,,,,,,,,
,http://www.koelnerzooshop.de/,,,,,,,+49 221 7785154,,,"Der ZooShop Nebeneingang ist ein Souvenirladen, der sich auf Produkte rund um den Zoo spezialisiert hat. Er bietet eine breite Palette an Artikeln, die das Zoo-Erlebnis ergänzen und verschönern. Kunden finden hier alles von Plüschtieren und Spielzeug bis hin zu Kleidung und Accessoires mit Zoo-Motiven. Der Laden legt Wert auf eine ansprechende Präsentation und eine freundliche Atmosphäre. Er richtet sich sowohl an Zoo-Besucher als auch an Tierfreunde, die ein Stück Zoo mit nach Hause nehmen möchten. Der ZooShop Nebeneingang ist somit die ideale Anlaufstelle für alle, die auf der Suche nach originellen Geschenken oder Erinnerungsstücken sind.",ZooShop Nebeneingang,,,,Souvenirladen,,,,,,,,,,Souvenirs
e.K.,https://www.koeln.de/branchen/eintrag/3610/geschenke/cologne-souvenirs-dieter-veithen-ek,Köln,50667,Alter Markt 55,Herr,,Dieter Veithen,+49 221 2570457,+49 170 4164984,veithen@t-online.de,"Cologne Souvenirs, ein traditionsreicher Souvenirladen in der Kölner Altstadt am Alter Markt 55, bietet seit über 30 Jahren authentische Andenken und besondere Geschenkideen. Das Geschäft zeichnet sich durch eine vielfältige Auswahl an Kölner Souvenirs, Kunsthandwerk aus dem Erzgebirge, original Schwarzwälder Kuckucksuhren und Sammlerstücken aus. Besonders hervorzuheben ist das Sortiment von Wendt & Kühn, klassische Nussknacker, Räuchermännchen und Bierkrüge, die alle in Deutschland gefertigt werden. Cologne Souvenirs legt großen Wert auf persönliche Beratung und heißt seine internationalen Kunden herzlich willkommen. Für Rollstuhlfahrer wird nach vorheriger Absprache ein individueller Besuch außerhalb der regulären Öffnungszeiten ermöglicht. Das Geschäft ist von Montag bis Samstag von 11:00 bis 17:00 Uhr geöffnet, sonntags von 11:00 bis 16:00 Uhr. Aktuell sucht das Unternehmen zudem Unterstützung im Verkauf auf Minijob-Basis.",Cologne Souvenirs,Herr,,Dieter Veithen,Souvenirladen,Dieter Veithen,,,Dieter Veithen,,,,,,Souvenirs; Kunsthandwerk; Sammlerstücke; Geschenkideen; Andenken
GmbH,https://www.globetrotter.de/filialen/koeln/#filiale,Hamburg,2305,Fuhlsbüttler Straße 29,Herr,,Andreas Vogler,+49 221 2772880,+49 40 67966179,info@globetrotter.de,"Globetrotter Köln ist ein Geschäft, das sich auf Outdoor-Ausrüstung spezialisiert hat und als größter Outdoor-Store Europas gilt. Auf 7.000 m² bietet das Geschäft eine riesige Auswahl an Produkten für verschiedene Outdoor-Aktivitäten wie Camping, Wandern, Wassersport und Bergsport. Neben dem Verkauf von Neuwaren gibt es auch einen Secondhand-Bereich für gebrauchte Ausrüstung und eine Werkstatt für Reparaturen. Globetrotter Köln legt Wert auf Nachhaltigkeit und bietet Services wie Ausrüstungsverleih und eine Wasserstation zur Vermeidung von Plastikmüll. Die Filiale veranstaltet regelmäßig Events, Vorträge und Workshops, um die Outdoor-Community zu inspirieren und zu verbinden. Kunden können persönliche Beratungstermine buchen und von Click & Collect profitieren. Globetrotter Köln ist mehr als nur ein Geschäft, es ist ein Treffpunkt für Outdoor-Enthusiasten.",Globetrotter Köln,Herr,,Andreas Vogler,Geschäft,Andreas Vogler,,,Andreas Bartmann,,,Alex Koska,,,
e.K.,https://4711cologne.de/,Köln,50667,Wallrafplatz 9,Herr,,Johannes Wrede,+49 221 2588955,0221 25 88 955,info@4711cologne.de,"Der 4711 Shop am Dom ist ein traditionsreiches Parfümerieunternehmen, das für sein berühmtes Echt Kölnisch Wasser bekannt ist. Dieses innovative Duftwasser aus dem 18. Jahrhundert, das auf einem erfrischenden Rezept aus ätherischen Ölen basiert, hat die Marke weltweit berühmt gemacht. Der Name ""4711"" und die Bezeichnung ""Echt Kölnisch Wasser"" sind tief in der Geschichte Kölns verwurzelt und stehen für deutsche Handwerkskunst. Neben dem klassischen Echt Kölnisch Wasser bietet das Unternehmen auch die Duftlinien Acqua Colonia, Acqua Colonia Intense und die Floral Collection an. Diese Düfte reichen von leicht und erfrischend bis hin zu intensiveren Aromen, die für unvergessliche Duftmomente sorgen. Der 4711 Shop am Dom repräsentiert somit zeitlose Eleganz und Tradition in der Welt der Parfümerie.",4711 Shop am Dom,Herr,,Johannes Wrede,Parfümerie,Johannes Wrede,,,,,,,,,
GmbH,http://mausundmehr.com/,Gosen-Neu Zittau,15537,Geschwister-Scholl-Straße 11,Herr,,Andreas Trötsch,+49 221 25858777,+49 (0) 3375 21762-0,info@mausundmehr.com,"MAUS&MEHR ist ein Souvenirladen in den WDR-Arkaden in Köln, der früher als Maus-Laden bekannt war. Das Geschäft bietet eine breite Palette von Artikeln rund um die Maus, den kleinen blauen Elefanten, das Sandmännchen und den kleinen Maulwurf an. Das Sortiment umfasst Spielwaren, Kinderbekleidung, Tassen, Besteck und vieles mehr. MAUS&MEHR richtet sich an Kunden jeden Alters, von Kindern bis zu Erwachsenen, die Nostalgie oder Geschenke suchen. Das Geschäft wird nun von der Trötsch Handels GmbH betrieben, die bereits ein großer Lizenznehmer der WDR Mediagroup ist. MAUS&MEHR ist für Jung und Alt gleichermaßen geeignet und bietet Produkte, die Freude bereiten.",Maus und mehr,Herr,,Andreas Trötsch,Souvenirladen,Andreas Trötsch,,,Andreas Trötsch,,,,,,
GmbH,https://www.koelntourismus.de/,Köln,50667,Kardinal-Höffner-Platz 1,Herr,Dr.,Jürgen Amann,+49 221 346430,+49 (0) 221. 346 43 0,info@koelntourismus.de,"Die KölnTourismus GmbH, auch bekannt als VisitKöln, ist die offizielle Tourismusorganisation der Stadt Köln. Sie bietet umfassende Informationen für Besucher, um unbeschwerte Tage in der Domstadt zu ermöglichen. Das Unternehmen präsentiert Highlights, Sehenswürdigkeiten wie den Kölner Dom, Weihnachtsmärkte, Brauhäuser und informiert über Veranstaltungen wie den ColognePride und den Kölner Karneval. KölnTourismus fördert die weltoffene Metropole am Rhein und lädt dazu ein, die Stadt zu entdecken. Auf ihrer Website finden sich Angebote zu Erlebnissen, Kunst & Kultur, Genuss & Diversität sowie Geschichten über Köln. Zudem bietet sie praktische Informationen zur Anreise, Unterkunft und Mobilität, inklusive der KölnCard für Vergünstigungen. Die Tourist Information steht Besuchern persönlich und telefonisch zur Verfügung.",KölnTourismus GmbH | VisitKöln,Frau,Stephanie,Kleine Klausing,Touristeninformation,Dr. Jürgen Amann,,,Stephanie Kleine Klausing,,,Eva Wilhelm Wilhelm,,,
GmbH,https://www.santosgrills.de/,Köln,51063,Hafenstraße 1-3,Herr,,Franziskus Josten,+49 221 63072220,0221-63072220,shop@santosgrills.de,"Der Santos Grillshop ist ein führender Fachhändler für Grillgeräte mit einer breiten Auswahl an Gas-, Holzkohle-, Pellet- und Elektrogrills sowie Pizzaöfen und Außenküchen. Das Unternehmen zeichnet sich durch umfassende Beratung, exzellenten Service und hohe Qualität aus, sowohl online als auch in seinen Grillfachgeschäften. Mit über 10.000 Grills direkt versandbereit und einem großen Lagerbestand bietet Santos eine schnelle Verfügbarkeit. Zusätzlich betreibt Santos eine eigene Grillschule, in der verschiedene Grillseminare angeboten werden, und stellt im Grill Magazin und auf YouTube zahlreiche Rezepte und Tipps zur Verfügung. Kunden profitieren von einer persönlichen Grillberatung und einem breiten Angebot an Zubehör und Ersatzteilen. Santos legt Wert auf Kundenzufriedenheit und bietet kostenlose Lieferung ab 199 € sowie eine Selbstabholer-Prämie. Das Unternehmen ist an mehreren Standorten in Deutschland, Österreich und der Schweiz vertreten.",Santos Grillshop,Herr,,Franziskus Josten,Fachgeschäft für Grillgeräte,Franziskus Josten,,,Daniel Schellhoss,,,Franziskus Josten,,,
